,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
1435541,23031,12/19/2016 08:46:00 PM,HOMICIDE,2016,PM,2016-12-19 20:46:00,20
1435552,10733721,10/25/2016 04:30:00 PM,SEX OFFENSE,2016,PM,2016-10-25 16:30:00,16
1437039,10791524,12/22/2016 10:50:00 AM,SEX OFFENSE,2016,AM,2016-12-22 10:50:00,10
1437508,10795682,01/01/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-01-01 00:00:00,0
1437532,10795922,11/13/2016 12:00:00 PM,SEX OFFENSE,2016,PM,2016-11-13 12:00:00,12
1437555,10796077,12/12/2016 03:35:00 PM,SEX OFFENSE,2016,PM,2016-12-12 15:35:00,15
1437556,10796079,11/21/2016 04:51:00 PM,SEX OFFENSE,2016,PM,2016-11-21 16:51:00,16
1437612,10797471,11/20/2016 03:00:00 PM,SEX OFFENSE,2016,PM,2016-11-20 15:00:00,15
1437637,23032,12/22/2016 02:11:00 PM,HOMICIDE,2016,PM,2016-12-22 14:11:00,14
1438311,23034,12/23/2016 11:19:00 PM,HOMICIDE,2016,PM,2016-12-23 23:19:00,23
1438312,23035,12/23/2016 11:44:00 PM,HOMICIDE,2016,PM,2016-12-23 23:44:00,23
1438313,23053,09/22/2016 07:07:00 PM,HOMICIDE,2016,PM,2016-09-22 19:07:00,19
1438947,10800490,11/28/2016 12:00:00 PM,SEX OFFENSE,2016,PM,2016-11-28 12:00:00,12
1438948,10800491,07/01/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-07-01 00:00:00,0
1438956,10800512,11/09/2016 04:39:00 PM,SEX OFFENSE,2016,PM,2016-11-09 16:39:00,16
1438957,10800515,01/20/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-01-20 00:00:00,0
1438962,10800517,12/23/2016 09:07:00 AM,SEX OFFENSE,2016,AM,2016-12-23 09:07:00,9
1438963,23036,12/24/2016 12:25:00 AM,HOMICIDE,2016,AM,2016-12-24 00:25:00,0
1438964,23037,12/24/2016 09:03:00 PM,HOMICIDE,2016,PM,2016-12-24 21:03:00,21
1438965,23048,12/24/2016 04:05:00 PM,HOMICIDE,2016,PM,2016-12-24 16:05:00,16
1439383,23038,12/25/2016 01:12:00 AM,HOMICIDE,2016,AM,2016-12-25 01:12:00,1
1439384,23039,12/25/2016 02:16:00 AM,HOMICIDE,2016,AM,2016-12-25 02:16:00,2
1439385,23043,12/25/2016 10:30:00 AM,HOMICIDE,2016,AM,2016-12-25 10:30:00,10
1439386,23045,12/25/2016 04:40:00 PM,HOMICIDE,2016,PM,2016-12-25 16:40:00,16
1439387,23046,12/25/2016 09:19:00 PM,HOMICIDE,2016,PM,2016-12-25 21:19:00,21
1439388,23047,12/25/2016 10:20:00 PM,HOMICIDE,2016,PM,2016-12-25 22:20:00,22
1439389,23049,12/25/2016 02:21:00 PM,HOMICIDE,2016,PM,2016-12-25 14:21:00,14
1439392,10801274,12/06/2016 06:27:00 PM,SEX OFFENSE,2016,PM,2016-12-06 18:27:00,18
1439616,10799953,12/24/2016 10:00:00 PM,SEX OFFENSE,2016,PM,2016-12-24 22:00:00,22
1440060,10795124,12/26/2016 09:50:00 PM,SEX OFFENSE,2016,PM,2016-12-26 21:50:00,21
1440210,10798877,12/26/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-12-26 00:00:00,0
1440230,23050,12/26/2016 10:30:00 PM,HOMICIDE,2016,PM,2016-12-26 22:30:00,22
1440877,23051,12/27/2016 05:17:00 PM,HOMICIDE,2016,PM,2016-12-27 17:17:00,17
1441578,10804040,07/28/2016 06:30:00 PM,SEX OFFENSE,2016,PM,2016-07-28 18:30:00,18
1441585,10804209,12/25/2016 04:20:00 AM,SEX OFFENSE,2016,AM,2016-12-25 04:20:00,4
1441594,23052,12/28/2016 09:08:00 PM,HOMICIDE,2016,PM,2016-12-28 21:08:00,21
1441721,10803834,12/19/2016 03:17:00 PM,SEX OFFENSE,2016,PM,2016-12-19 15:17:00,15
1441728,10803922,12/12/2016 06:00:00 AM,SEX OFFENSE,2016,AM,2016-12-12 06:00:00,6
1442005,10798875,12/29/2016 06:00:00 PM,SEX OFFENSE,2016,PM,2016-12-29 18:00:00,18
1442092,10799030,12/29/2016 08:00:00 AM,SEX OFFENSE,2016,AM,2016-12-29 08:00:00,8
1442356,23054,12/29/2016 01:14:00 AM,HOMICIDE,2016,AM,2016-12-29 01:14:00,1
1442890,10800506,12/30/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-12-30 00:00:00,0
1442977,10801664,12/30/2016 10:30:00 PM,SEX OFFENSE,2016,PM,2016-12-30 22:30:00,22
1443082,23055,12/30/2016 09:25:00 AM,HOMICIDE,2016,AM,2016-12-30 09:25:00,9
1443083,23056,12/30/2016 10:30:00 PM,HOMICIDE,2016,PM,2016-12-30 22:30:00,22
1443155,22471,05/11/2016 11:29:00 PM,HOMICIDE,2016,PM,2016-05-11 23:29:00,23
1443156,22472,05/11/2016 11:39:00 PM,HOMICIDE,2016,PM,2016-05-11 23:39:00,23
1443157,22474,05/12/2016 02:37:00 AM,HOMICIDE,2016,AM,2016-05-12 02:37:00,2
1443191,10800427,12/31/2016 02:30:00 AM,SEX OFFENSE,2016,AM,2016-12-31 02:30:00,2
1443765,23057,12/31/2016 01:11:00 PM,HOMICIDE,2016,PM,2016-12-31 13:11:00,13
1444527,10794313,12/25/2016 03:36:00 AM,SEX OFFENSE,2016,AM,2016-12-25 03:36:00,3
1444546,10804205,12/31/2016 04:00:00 AM,SEX OFFENSE,2016,AM,2016-12-31 04:00:00,4
1444721,10807600,12/21/2016 09:00:00 AM,SEX OFFENSE,2016,AM,2016-12-21 09:00:00,9
1446029,10810511,05/01/2016 06:00:00 PM,SEX OFFENSE,2016,PM,2016-05-01 18:00:00,18
1446042,23070,09/16/2016 06:28:00 AM,HOMICIDE,2016,AM,2016-09-16 06:28:00,6
1446081,23058,12/31/2016 02:29:00 PM,HOMICIDE,2016,PM,2016-12-31 14:29:00,14
1446813,10811822,12/22/2016 02:00:00 PM,SEX OFFENSE,2016,PM,2016-12-22 14:00:00,14
1447323,10812825,11/01/2016 01:00:00 PM,SEX OFFENSE,2016,PM,2016-11-01 13:00:00,13
1447341,10813081,07/01/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-07-01 00:00:00,0
1447925,10813899,01/01/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-01-01 00:01:00,0
1447946,10814148,10/01/2016 12:01:00 AM,SEX OFFENSE,2016,AM,2016-10-01 00:01:00,0
1447979,23075,01/24/2016 12:01:00 AM,HOMICIDE,2016,AM,2016-01-24 00:01:00,0
1449297,10787898,12/19/2016 08:30:00 AM,SEX OFFENSE,2016,AM,2016-12-19 08:30:00,8
1451400,10818621,11/01/2016 07:00:00 AM,SEX OFFENSE,2016,AM,2016-11-01 07:00:00,7
1452852,10817475,01/01/2016 08:00:00 AM,SEX OFFENSE,2016,AM,2016-01-01 08:00:00,8
